STUDENT_ID;GRADE_PERCENT;DDATE
3049811;10;25.10.2022
3049790;0;25.10.2022
3049775;0;25.10.2022
2736459;0;25.10.2022
3049727;20;25.10.2022
3050022;2;24.10.2022
3050016;14.000000000000002;24.10.2022
3049950;0;24.10.2022
3023056;27;24.10.2022
3049917;17;24.10.2022
3049906;13;24.10.2022
3049864;8;24.10.2022
3049858;10;24.10.2022
3049852;11;24.10.2022
3212660;1;24.10.2022
3049826;29;24.10.2022
3049774;6;24.10.2022
3023051;0;24.10.2022
3051207;16;24.10.2022
3051167;20;24.10.2022
3051161;18;24.10.2022
3051138;0;24.10.2022
3051120;0;24.10.2022
3051116;8;24.10.2022
3022900;24;24.10.2022
3051079;30;24.10.2022
3023036;0;24.10.2022
3051058;0;24.10.2022
3051046;29;24.10.2022
3051032;29;24.10.2022
3051016;9;24.10.2022
3050968;0;24.10.2022
3050967;12;24.10.2022
3050963;0;24.10.2022
3050905;5;24.10.2022
3050880;0;24.10.2022
3050865;1;24.10.2022
3064667;0;24.10.2022
297699;28.000000000000004;24.10.2022
3050742;24;24.10.2022
3050695;10;24.10.2022
1466975;4;24.10.2022
2664953;0;24.10.2022
317936;0;24.10.2022
3050498;6;24.10.2022
95732;8;24.10.2022
3217216;0;24.10.2022
3050479;8;24.10.2022
3023017;14.000000000000002;24.10.2022
3050393;8;24.10.2022
3050371;29;24.10.2022
3050364;6;24.10.2022
3050344;0;24.10.2022
3050327;30;24.10.2022
3050318;0;24.10.2022
3023003;0;24.10.2022
3050266;23;24.10.2022
3050263;29;24.10.2022
3050254;0;24.10.2022
3050251;30;24.10.2022
3050245;18;24.10.2022
3050239;0;24.10.2022
3218678;9;24.10.2022
3050200;11;24.10.2022
3022996;25;24.10.2022
3050186;0;24.10.2022
2700591;0;24.10.2022
